maneuver,trial,Mean AngVel_L,Std AngVel_L,Max AngVel_L,Min AngVel_L,RMS AngVel_L,Mean AngVel_R,Std AngVel_R,Max AngVel_R,Min AngVel_R,RMS AngVel_R,Mean Chair_LinVel,Std Chair_LinVel,Max Chair_LinVel,Min Chair_LinVel,RMS Chair_LinVel,Mean Chair_AngVel,Std Chair_AngVel,Max Chair_AngVel,Min Chair_AngVel,RMS Chair_AngVel,Mean Torque_L,Std Torque_L,Max Torque_L,Min Torque_L,RMS Torque_L,Mean Torque_R,Std Torque_R,Max Torque_R,Min Torque_R,RMS Torque_R,Mean Torque_sum,Std Torque_sum,Max Torque_sum,Min Torque_sum,RMS Torque_sum,Mean Torque_diff,Std Torque_diff,Max Torque_diff,Min Torque_diff,RMS Torque_diff,Mean Torque_L_roc,Std Torque_L_roc,Max Torque_L_roc,Min Torque_L_roc,RMS Torque_L_roc,Mean Torque_R_roc,Std Torque_R_roc,Max Torque_R_roc,Min Torque_R_roc,RMS Torque_R_roc,Clus_label,Prob_L0,Prob_L1,Prob_L2,Prob_L3,Prob_L4,Prob_L5
Turn90FL,Turn90FL_T3_WS32_Mahsa,1.8322073170165931,0.0260168692472255,1.871708137412236,1.7845655229741375,1.8323920241079883,1.7083855431577288,0.0320668058068789,1.7562749898452843,1.648455706077474,1.7086864674670377,1.7702964300871655,0.0290409916515846,1.8139915636287576,1.716510614525813,1.7705346168814295,-0.2476435477177063,0.0121323131737183,-0.230866295133872,-0.272219633793307,0.2479405568864382,-1.41196791792443,0.0558539884355647,-1.3152422793414171,-1.4977418781479732,1.4130722095038206,-2.0824336073968013,0.0567228355735785,-2.0104347285565547,-2.214172603164109,2.0832059930048112,-3.4944015253212317,0.0146578048188564,-3.474121132764349,-3.529414882505526,3.494432267394727,-0.6704656894723714,0.1116218838634574,-0.5126928504085815,-0.8989303238226918,0.679693817624443,-0.0058693521351206,0.0007934420729647,-0.0043203152487412,-0.0069288879246538,0.005922739637127,0.0068154996606287,0.0041184482784793,0.0143581145325657,0.0024698729472398,0.0079632061285979,4,1.2167429119441492e-118,2.523978101434756e-272,0.0,2.0929728603650523e-19,1.0,0.0
Turn90FL,Turn90FL_T3_WS32_Mahsa,1.7143617171249943,0.0417537842580158,1.7809266522272034,1.643308238783206,1.7148701045979031,1.5711385302630383,0.0420180313617033,1.6437394725629622,1.5045053393620558,1.57170028829819,1.6427501236940214,0.0418643599828527,1.71233306239509,1.5739067890726262,1.6432834793587794,-0.2864463737239079,0.0053993968781601,-0.2743743593284624,-0.2927400010125661,0.2864972574148391,-1.542359071020922,0.0154539034682427,-1.501950790805448,-1.5599669657060895,1.5424364904568768,-2.0725562488055624,0.0806889008669851,-1.9922084188900928,-2.2398876373733434,2.074126346967828,-3.614915319826484,0.0895553212119882,-3.50811020003807,-3.799854603079433,3.616024464114368,-0.5301971777846406,0.0740195119794331,-0.4522593421247556,-0.6799206716672539,0.5353390845851546,-0.0019445339861911,0.0023952292615153,0.0016077705831385,-0.0053005598264328,0.0030851800010164,-0.0071704034005246,0.0063580641211403,0.0042753193239328,-0.0135273140902381,0.0095833013254717,4,5.350327353195731e-131,1e-322,0.0,2.2456276126332064e-19,1.0,0.0
Turn90FL,Turn90FL_T3_WS32_Mahsa,1.5800025093599337,0.0329399071833075,1.6389285312585269,1.527474111849904,1.5803458378054256,1.458255009433457,0.0229799008937461,1.5009289256308231,1.421575987632394,1.4584360624939503,1.5191287593966876,0.0279581182062583,1.56992872844467,1.4745250497411355,1.5193860088864033,-0.2434949998529451,0.0199600767656744,-0.2117962484349941,-0.2759992112554089,0.2443117263208571,-1.6863020084968274,0.0801842593578083,-1.5644037905135069,-1.8179238316395028,1.688207327110386,-2.434568030322338,0.1041739529142708,-2.253254445994503,-2.607174755251527,2.436795786834295,-4.120870038819165,0.184231343893103,-3.8176582365080094,-4.42509858689103,4.124986189662958,-0.7482660218255104,0.0249452952764885,-0.6888506554809963,-0.7892509236120244,0.7486817128626866,-0.0080611520604191,0.0015074875556294,-0.0044368248074173,-0.0101951135923408,0.0082008957603165,-0.0114777224336932,0.0007817667324737,-0.0103530937728617,-0.0133668086211597,0.0115043153420317,4,5.919266258479702e-152,0.0,0.0,5.698118241439069e-21,1.0,0.0
Turn90FL,Turn90FL_T3_WS32_Mahsa,1.478159858348387,0.0274821744786166,1.5243622555881844,1.430846148370566,1.4784153126732005,1.3794476495727783,0.0238905695844314,1.419198514289447,1.340019892234343,1.3796545137196237,1.428803753960581,0.0256843139156171,1.4717803849388027,1.3854330203024583,1.4290345871647627,-0.1974244175512068,0.0073000090461017,-0.1816525122724568,-0.2103274825974491,0.1975593348275561,-1.8629234012433795,0.0165934809536669,-1.8251288114072688,-1.885360738075287,1.8629973007254628,-2.6066801419156467,0.0529425451681314,-2.498848537630542,-2.6636151563614594,2.607217726877879,-4.469603543159026,0.0632017930401372,-4.345931999382087,-4.544626946815368,4.470050368806062,-0.7437567406722674,0.0464978145141289,-0.6517650758789977,-0.7970261594502102,0.745208786884605,-0.0009112384410012,0.0038644035388273,0.0034431848494849,-0.007204979767766,0.0039703866571481,0.0033851943006557,0.00666809461142,0.0097183790720962,-0.0099388581032662,0.0074781699766749,4,1.5031503701337447e-213,0.0,0.0,4.693102311568147e-21,1.0,0.0
Turn90FL,Turn90FL_T3_WS32_Mahsa,1.373495273432162,0.0321077837393199,1.4274784613254257,1.3203386168751852,1.3738705091518415,1.300899911487753,0.0218155854091674,1.337623944354036,1.26456946401753,1.3010828180694682,1.337197592459961,0.0269616107124182,1.382551202839735,1.292454040446362,1.3374693752504856,-0.1451907238888327,0.0205859445213971,-0.111538305715318,-0.179709033942792,0.1466428566797623,-1.7711240813390523,0.0686380286525314,-1.6537866004180255,-1.8481727600303623,1.7724535792162253,-2.3139524782410965,0.1180265083850704,-2.116581355138818,-2.4915351890661195,2.316960579776808,-4.085076559580149,0.1860968815121619,-3.770367955556844,-4.338857306873148,4.089313212134739,-0.5428283969020444,0.0514861341450496,-0.4627947547207922,-0.6442130712590908,0.5452646059414139,0.0060405269166724,0.0036858647445988,0.01030584388178,-0.0003734093481153,0.00707626768477,0.0119458494528663,0.0023218726924831,0.014879836510405,0.0072581337962005,0.0121694047492326,4,1.0671814636328588e-162,0.0,0.0,1.3835494102186045e-26,1.0,0.0
Turn90FL,Turn90FL_T3_WS32_Mahsa,1.2653977818065083,0.0316837046421474,1.3170605718240422,1.209320208338122,1.2657943764058532,1.2281150600346509,0.0202657658020585,1.2623133630606618,1.1946177480601077,1.2282822566281164,1.2467564209205777,0.0259691411856472,1.2896869674423566,1.20196897819911,1.2470268519164327,-0.0745654435437253,0.0229374480803718,-0.0294049205560503,-0.1094944175267683,0.0780136647986251,-1.6927420649883858,0.0778135753051086,-1.635219023783856,-1.912464986920165,1.6945296253187514,-1.7105636176659154,0.3024516791049126,-1.1193739046176594,-2.1038999494846364,1.7370966893859665,-3.403305682654301,0.2336235936519117,-3.0318388915378245,-3.753419937276012,3.411314930213552,-0.0178215526775294,0.3748118966621204,0.7930910823025057,-0.4543799616932609,0.375235346974794,-0.0080836995781918,0.0108678153475348,0.0042666126266501,-0.0347204108692635,0.0135445785943517,0.0311627328287862,0.0118278600829696,0.0465606092010684,0.0126814056541815,0.0333318795074717,4,2.7891978490887816e-146,0.0,0.0,4.556492518889527e-75,1.0,0.0
Turn90FL,Turn90FL_T3_WS32_Mahsa,1.1250523836350002,0.0521748128033452,1.205129426240355,1.0309582938852528,1.1262615491145296,1.1681205454656285,0.0139951058137731,1.1926595806645592,1.1436615352493666,1.1682043792614611,1.1465864645503163,0.033068515894237,1.198894503452452,1.0873099145673129,1.147063227304163,0.0861363236612571,0.0764732942095626,0.2254064827282503,-0.0249396911516104,0.1151852029608803,-3.0861267241885018,0.7612776440356949,-1.9509479286314044,-4.351208467669887,3.1786352116999823,-0.5750934363083935,0.2339602215212234,-0.2974378778796191,-1.0733135007803924,0.6208621793435772,-3.661220160496896,0.5418564289571131,-3.0212134179393613,-4.648646345549506,3.7011000328592942,2.5110332878801085,0.9873974293684592,4.053770589790267,0.877634427851012,2.698192331240571,-0.0762107337734288,0.015493668137586,-0.0384829417112393,-0.0922346789455161,0.0777697222229968,0.0256855008355637,0.0131736214179336,0.0460604038372669,0.0080526659188076,0.0288667499805015,4,0.0,0.0,0.0,1.6546302199370313e-59,1.0,1.1781577135574416e-44
Turn90FL,Turn90FL_T3_WS32_Mahsa,0.9166016687799664,0.0641204123546867,1.0241342227687138,0.8097414302006029,0.9188416873927492,1.1006477301035762,0.0275986820122224,1.1417306155327982,1.0505161287607685,1.1009936934564917,1.0086246994417718,0.0458223820052577,1.082932419150758,0.9301287794806844,1.0096650310952835,0.3680921226472279,0.0734157009950948,0.4815493971203303,0.2351927855281909,0.3753420785197724,-5.3245548028279,0.5424058214811894,-4.416680280041248,-6.250151290225304,5.352110604564739,-0.1944946617498959,0.0537883354390423,-0.130201683532184,-0.2898230095183614,0.2017953380990486,-5.519049464577796,0.4902284240093564,-4.70650328955961,-6.39238976367945,5.540778907352571,5.130060141078004,0.594870248630133,6.107912816771158,4.126857270522887,5.164434883293868,-0.0593419632048567,0.0024051938283386,-0.055754065507628,-0.0654718123713617,0.0593906857542363,0.004849981388296,0.0036176240923964,0.008716570485258,-0.004248669607179,0.0060505804300666,4,0.0,0.0,0.0,5.193220674351185e-18,0.9999999999999929,4.4659757239588614e-15
Turn90FL,Turn90FL_T3_WS32_Mahsa,0.7044424722847584,0.0581127020491357,0.8030992999072805,0.6074084696295485,0.7068354001449803,1.0153389052112134,0.0132241439859001,1.047059241703701,1.0028461669091482,1.0154250195950782,0.8598906887479831,0.0348297600295269,0.9250792708054888,0.8097899588046218,0.8605957871028623,0.6217928658529095,0.0948995155385853,0.8095259567002802,0.4879198835928395,0.628993073153459,-6.980316231078421,0.3227342850794805,-6.309966170809711,-7.360533671716453,6.987773043296599,-0.1635212736596074,0.1017675876147974,0.1486795800739828,-0.2564031461235064,0.1926028266360483,-7.143837504738028,0.3012410582659058,-6.457230570003798,-7.439356261005774,7.150186044382818,6.8167949574188125,0.3718628055133168,7.509213251790436,6.162701771615623,6.826930162057819,-0.0346994494215984,0.0171017015109242,-0.0053460394334416,-0.0598148805844065,0.0386848805702022,0.009091189172754,0.0205910032120722,0.058497403121612,-0.0093458846701156,0.0225086457578942,4,0.0,0.0,0.0,5.308252397492546e-28,0.995515964509181,0.004484035490816534
Turn90FL,Turn90FL_T3_WS32_Mahsa,0.5002668772967649,0.0619702341810233,0.601208214398705,0.3935707939628669,0.5040905260414119,1.0708002394986451,0.0381859089079834,1.1405242957927275,1.0143588470401907,1.0714808988262388,0.7855335583977117,0.0119759827032924,0.8077835307194514,0.7670475448777969,0.7856248440131465,1.1410667244037618,0.2002323698138824,1.4939070036597055,0.8263012652829698,1.1585017356321974,-7.315037791190424,0.0322911671210294,-7.276276035638263,-7.366277041996343,7.315109063166324,2.424797746044661,1.649629078401917,5.587486368871231,0.2132087936078974,2.9327325492673944,-4.890240045145761,1.6798917332083736,-1.6887896667670326,-7.150872560846126,5.170733403923379,9.739835537235084,1.61944478024555,12.863762404509494,7.577290148061921,9.873550409485537,0.0026330511274434,0.0023141766119342,0.0058844204801591,-0.0035476827375697,0.0035054773756158,0.1699627121499139,0.0578844763218965,0.2438314075317498,0.0645292135339146,0.1795492582006807,5,0.0,0.0,0.0,0.0,0.0,1.0
